date,minute,label,high,low,average,volume,notional,numberOfTrades,marketHigh,marketLow,marketAverage,marketAverage,marketVolume,marketNotional,marketNumberOfTrades,open,close,marketOpen,marketClose,changeOverTime,marketChangeOverTime
20181221,09:30,09:30 AM,3.75,3.71,3.727,12056,44926.92,64,3.78,3.7,3.72,3.72,469975,1748253.7517,780,3.71,3.74,3.78,3.74,0,0
20181221,09:31,09:31 AM,3.77,3.74,3.748,5900,22114.5,18,3.78,3.735,3.758,3.758,143680,539950.7616,302,3.74,3.75,3.735,3.75,0.005634558626241039,0.010215053763440809
20181221,09:32,09:32 AM,3.745,3.745,3.745,400,1498,2,3.75,3.73,3.737,3.737,91267,341066.0855,112,3.745,3.745,3.745,3.75,0.004829621679635159,0.004569892473118254
20181221,09:33,09:33 AM,3.74,3.725,3.736,27400,102374,31,3.75,3.72,3.742,3.742,676262,2530680.2408,792,3.74,3.725,3.745,3.72,0.0024148108398176393,0.005913978494623601
20181221,09:34,09:34 AM,3.73,3.725,3.726,3000,11178.5,8,3.75,3.72,3.73,3.73,357214,1332508.9464,246,3.725,3.73,3.725,3.74,-0.0002683123155352535,0.0026881720430106952
20181221,09:35,09:35 AM,3.76,3.75,3.753,2000,7507,4,3.77,3.74,3.757,3.757,61712,231841.5958,179,3.75,3.76,3.75,3.76,0.006976120203917426,0.009946236559139763
20181221,09:36,09:36 AM,3.75,3.74,3.744,900,3370,3,3.76,3.72,3.74,3.74,306786,1147247.4022,197,3.75,3.74,3.75,3.72,0.004561309364099906,0.00537634408602151
20181221,09:37,09:37 AM,3.76,3.72,3.751,16200,60762.5,20,3.77,3.72,3.744,3.744,552980,2070330.4027,516,3.72,3.75,3.72,3.74,0.0064394955728467995,0.006451612903225812
20181221,09:38,09:38 AM,3.75,3.74,3.749,8700,32619.5,83,3.76,3.735,3.744,3.744,217933,815857.9805,309,3.745,3.75,3.74,3.76,0.0059028709417762925,0.006451612903225812
20181221,09:39,09:39 AM,3.75,3.75,3.75,900,3375,5,3.76,3.744,3.75,3.75,129616,486090.9683,179,3.75,3.75,3.757,3.75,0.006171183257311546,0.008064516129032206
20181221,09:40,09:40 AM,3.75,3.75,3.75,6128,22980,18,3.76,3.745,3.75,3.75,349548,1310888.5438,388,3.75,3.75,3.755,3.75,0.006171183257311546,0.008064516129032206
20181221,09:41,09:41 AM,3.755,3.74,3.741,4300,16087,8,3.755,3.73,3.744,3.744,150337,562852.5386,175,3.745,3.755,3.75,3.74,0.003756372417494026,0.006451612903225812
20181221,09:42,09:42 AM,-1,-1,-1,0,0,0,3.75,3.74,3.749,3.749,14527,54462.2065,40,,,3.74,3.745,,0.007795698924731159
20181221,09:43,09:43 AM,3.755,3.75,3.75,2400,9000.5,7,3.76,3.74,3.75,3.75,91568,343386.2113,141,3.75,3.75,3.75,3.74,0.006171183257311546,0.008064516129032206
20181221,09:44,09:44 AM,3.77,3.75,3.761,4900,18428.5,10,3.78,3.74,3.762,3.762,295564,1111831.9412,386,3.75,3.77,3.75,3.77,0.009122618728199692,0.01129032258064511
20181221,09:45,09:45 AM,3.775,3.77,3.773,3200,12073,6,3.78,3.77,3.771,3.771,130342,491457.9127,213,3.77,3.775,3.775,3.775,0.012342366514623093,0.013709677419354761
